kind`tsource`ttranslation
description	A powerful part used by Imperial\ngenerals and elite soldiers.	帝国将军和精锐士兵使用的\n强力零件.
name	R.A.M. Hip	R.A.M. 腰部
description	The use of R.A.M type parts is\npreferred by the Empire.\n	帝国偏爱使用\nR.A.M. 系列零件.
name	R.A.M. Leg	R.A.M. 腿部
name	R.A.M. Wing	R.A.M. 翼
description	A part used by Imperial \ngenerals to quickly scan the \nfrontlines.	帝国将军用于快速扫描\n前线的零件.
name	Subprogram Arm 1	子程序手臂 1
description	Subprograms have been known to\ndig up their kind with this.	已知子程序会用它\n挖掘出同类.
name	Subprogram Arm 2	子程序手臂 2
description	A part used by Subprograms to\nambush traveling Megacs.	子程序用于伏击\n路过 Megac 的零件.
name	Khepriogram Core	Khepriogram 核心
description	Tainted from the inside.	从内部被污染.
name	Khepriogram Head	Khepriogram 头部
description	The famous head part used by\nGrand Khotep Muer himself.	Khotep 领主 Muer 本人\n使用的著名头部零件.
name	Khepriogram Hip	Khepriogram 腰部
description	The result of a eerie mixture\nof Kheprion and Subprogram\nparts pioneered by Grand Khotep\nMuer.	由 Khotep 领主 Muer 首创的\nKheprion 与子程序零件的\n诡异混合产物.
name	Khepriogram Leg	Khepriogram 腿部
description	The result of a eerie mixture\nof Kheprion and Subprogram\nparts pioneered by Grand Khotep\nMuer.	由 Khotep 领主 Muer 首创的\nKheprion 与子程序零件的\n诡异混合产物.
name	Neomoog Wing	Neomoog 翼
description	Neomoog is a recently developed\ntype of part. It quickly\nbecame quite popular.	Neomoog 是近期开发的\n零件类型,很快便\n广受欢迎.
name	Subprogram Core	子程序核心
description	If a Megac is somehow not\ndeleted after its destruction,\nthey turn out like this.	若 Megac 被摧毁后不知为何\n没有删除,就会变成这样.
name	Subprogram Head	子程序头部
description	Destroyed but not deleted,\nSubprograms roam the deadlands.	被摧毁却未删除的子程序,\n会游荡在子程序荒原.
name	Subprogram Hip	子程序腰部
description	A solid, strange looking hip.	结实,外形奇特的腰部.
name	Subprogram Leg	子程序腿部
description	A 'leaked' part that had its\nshape sharpened after changing\ninto a Subprogram type.	一种"泄漏"的零件,变成\n子程序类型后外形变得\n更尖锐.
name	Subprogram Shoulder	子程序肩部
description	Small but protective.	小巧但具保护性.
name	Neomoog Leg	Neomoog 腿部
description	Neomoog is a recently developed\ntype of part. It quickly\nbecame quite popular.	Neomoog 是近期开发的\n零件类型,很快便\n广受欢迎.
name	Mantibyte Arm	螳字节手臂
description	A cutting-edge part.	尖端零件.
name	Mantibyte Core	螳字节核心
description	A defensive part crafted for\nswift megacs.	为敏捷 Megac 打造的\n防御零件.
name	Mantibyte Head	螳字节头部
description	A common head part, used by\nsome tournament fighters\nbecause of its damage boost.	常见的头部零件,因其伤害加成\n而被一些锦标赛战士使用.
name	Mantibyte Hip	螳字节腰部
description	Considered a collectible by some\nMegacs.	被一些 Megac 视为\n收藏品.
name	Mantibyte Leg	螳字节腿部
description	A quick attack part from the\nElectro Caves.	来自电气洞穴的\n快速攻击零件.
name	Mantibyte Wing	螳字节翼
description	Not capable of flight, but can\nstill make you more mobile when\nin the air.	不能飞行,但在空中时仍可\n让你更加灵活.
name	B-Chipset Arm	B 芯片组手臂
description	Tougher than it looks, it can\ndeal quite a punch.	比看上去更坚固,\n拳劲相当可观.
name	B-Chipset Core	B 芯片组核心
description	A solid defence part.	结实的防御零件.
name	B-Chipset Hammer Arm	B 芯片组锤臂
description	This ancient hammer was used\nfor the creation of what we \nknow now as the Ancient Tech\nRuins. It is old.	这把古代锤子曾用于建造\n如今的古代科技遗迹.\n它很古老.
name	B-Chipset Head	B 芯片组头部
description	Can also be used as a Core \npart.	也可以作为核心零件使用.
name	B-Chipset Hip	B 芯片组腰部
description	You'll thank yourself for\nchoosing this part when you're\nabout to fall to destruction.	当你即将坠毁时,选择这件零件\n会让你感谢自己.
name	B-Chipset Leg	B 芯片组腿部
description	Great for kicking and running\naround.	非常适合踢击和奔跑.
name	B-Chipset Jumperpack	B 芯片组跳跃背包
description	A capsule worn on the back that\nprovides an extra jump.	佩戴在背后的胶囊,\n可提供一次额外跳跃.
name	Exo Arm	外骨骼手臂
description	Its shape and damage increase\nadds an offensive style to your\npunches.	它的外形和伤害提升,\n让你的拳击更具进攻性.
name	Shield Engine Arm	护盾引擎手臂
description	A necessity for guarding Megacs.\nCan also be used to reach\nhigh places.	守卫型 Megac 的必需品.\n也可用来抵达高处.
name	Cularjet Core	Cularjet 核心
description	This part's ability will do\nknockback in the direction of its\nflight. So a downwards launch\ncan finish an opponent off.	该零件的能力会朝飞行方向\n造成击退.因此向下发射可以\n终结对手.
name	Exo Core	外骨骼核心
description	Most consider it useless.	大多数人认为它没用.
name	Exo Leg	外骨骼腿部
description	A part mostly found on the\nfour-legged Wrench type Megacs.	常见于四足 Wrench 型 Megac 的\n零件.
name	Unknown Head	未知头部
description	A mysterious looking head.	外形神秘的头部.
name	Drill Arm	钻头手臂
description	An arm part capable of drilling\nthrough any type of\ndestructible blocks.	能钻穿任何类型\n可破坏方块的手臂零件.
name	Cadion Arm	Cadion 手臂
description	Can really hurt your opponent.	真的能让对手很痛.
name	Cadion Core	Cadion 核心
description	This core is often worn by\nFrostbyte Deep Soldiers.	这枚核心常由霜蚀深渊士兵\n佩戴.
name	Cadion Head	Cadion 头部
description	Hard heads are hard!	硬脑壳就是硬!
name	Cadion Hip	Cadion 腰部
description	A light weight piece to \nspeed up your attacks.	轻量零件,可加快\n你的攻击速度.
name	Cadion Leg	Cadion 腿部
description	Designed to have more grip on\nice. It's not working.	设计上能更好抓住冰面.\n不过没起作用.
name	Cadion Shoulder	Cadion 肩部
description	Often used to travel over\nthe gaps in Frostbyte Deep.	常用于越过霜蚀深渊的\n缺口.
name	Neon Meteor Head	霓虹流星头部
description	You'll feel like a shooting \nstar.	让你感觉自己像颗\n流星.
name	Neon Meteor Leg	霓虹流星腿部
description	Sharp, small and powerful.	锋利,小巧且强大.
name	Blaster Head	爆能头部
description	A part with a head mounted\nblaster.	装有头部爆能枪的零件.
name	Capsule Leg	胶囊腿部
description	Stores energy in a capsule to\nboost speed when required.	将能量储存在胶囊中,\n需要时提升速度.
name	Bugga Head	Bugga 头部
description	These jaws can give a nasty \nbite.	这些颚能咬出\n凶狠的一口.
name	Aero Stabilizer	Aero 稳定器
description	Balance is important when\nyou are unleashing the fury.	释放怒火时,平衡\n很重要.
name	Sniper Arm	狙击手臂
description	A part with a long range\nability, especially good in\ntoppeling targets over an \nedge.	拥有远程能力的零件,\n尤其擅长把目标击落\n边缘.
name	Scythe Claw	镰刀爪
description	Sharpened within the depths\nof Frostbyte Deep.	在霜蚀深渊的深处\n磨砺而成.
name	Missile Revolver	导弹左轮炮
description	One of the finest weapons\ncrafted by the Empire.	帝国制造的最精良武器之一.
name	Frostbyte Core	霜蚀核心
description	This core uses cold-fusion\nto increase the strength of\npunches.	这枚核心使用冷聚变,\n增强拳击的力量.
name	Ice-Beak Head	冰喙头部
description	An eerie head part.	令人不安的头部零件.
name	Frostbyte Hip	霜蚀腰部
description	Hip before it was cool.	早在"腰部"成为潮流之前,它就已经很潮了.
name	Frostbyte Leg	霜蚀腿部
description	Slicing frost blocks with\nease.	轻松切开霜块.
name	Frostbyte Shoulder	霜蚀肩部
description	Some say it also gives +1 \nfanciness.	有人说它还能提供 +1 点\n华丽度.
name	Falcion Head	Falcion 头部
description	Some sort of protective\nmask.	某种防护面具.
name	Falcion  Leg	Falcion 腿部
description	Crafted out of hollow frost\nshards for optimal speed.	用中空霜片打造,\n追求最佳速度.
name	Falcion  Shoulder	Falcion 肩部
description	A spike on your back tend\nto make you more powerful.	背上的一根尖刺往往会\n让你更强大.
name	Cupido Head	丘比特头部
description	It has tiny wings!	它有小翅膀!
name	Toxi Hoodi	Toxi 兜帽
description	This mask also prevents you \nfrom being infected by your \nown virus bomb.	这张面具还能防止你被\n自己的病毒炸弹感染.
name	Colli Hoodi	Colli 兜帽
description	Lightweight and provides\nbasic protection against \nthe cold.	轻量,并提供基本的\n抗寒保护.
name	Missile Revolver Core	导弹左轮炮核心
description	A core that can launch \nhoming missiles.	能发射追踪导弹的核心.
name	Shockboost Hip	电击推进腰部
description	An extra jump can make a \nshocking difference in\nbattle.	额外一次跳跃能在战斗中\n带来惊人的差异.
name	Electropunk Leg	电气朋克腿部
description	One of the more modern \ndesigns. You like it or you\ndon't.	较为现代的设计之一.\n喜欢与否,见仁见智.
name	Cybersky Head	赛博天空头部
description	An unique part that was crafted\nfor fights in the sky.	专为天空战斗打造的\n独特零件.
name	Valk Empire Wing	Valk 帝国翼
description	A modern air gliding device\noften used by elite Empire\nsoldiers.	现代化滑翔装置,常由精锐\n帝国士兵使用.
name	Ghost Soldier Head	幽灵士兵头部
description	Used by special Empire \nforces.	供帝国特种部队使用.
name	Madpot Head	Madpot 头部
description	There is some madness\nbrewin' in here.	这里正酝酿着些疯狂.
name	Pomus Head	Pomus 头部
description	This piece is often use to \nentertain the young megacs.	这件零件常用于娱乐\n年轻 Megac.
name	Pomus Leg	Pomus 腿部
description	This leg is made for running.	这条腿天生就是用来跑步的.
name	Praeto Cannon	Praeto 加农炮
description	It's big and shoots missiles.	它很大,而且会发射导弹.
name	Praeto Boost Wing	Praeto 加速翼
description	This part is the result of the \nfirst technical achievement\nof Empire engineers.	这件零件是帝国工程师\n首次技术成就的成果.
name	Overclocked R.A.M. Head	超频 R.A.M. 头部
description	The one and only head used by\nGeneral HB-03.	HB-03 将军唯一使用的头部.
name	Imperial Battle Head	帝国战斗头部
description	State of the art head piece\nused by elite Empire soldiers.	精锐帝国士兵使用的\n尖端头部零件.
name	Zomzom Arm	Zomzom 手臂
description	Zomzom equipment is the \nlatest standard for fighting\nmegacs.	Zomzom 装备是战斗型 Megac 的\n最新标准.
name	Zomzom Core	Zomzom 核心
description	A rare part among the Zomzom\ncollection.	Zomzom 收藏中罕见的\n零件.
name	Zomzom Head	Zomzom 头部
description	A great part to intimidate\nyour opponent.	用来威慑对手的\n绝佳零件.
name	Zomzom Hip	Zomzom 腰部
description	Be careful not to blow up\nyourself.	小心别把自己炸飞.
name	Zomzom Leg	Zomzom 腿部
description	This strong leg is difficult\nto break.	这条结实的腿很难\n被破坏.
name	Zomzom Shoulder	Zomzom 肩部
description	This cold-air intake prevents\nyour megac from overheating in\nintense battles.	这个冷气进气口可防止你的\nMegac 在激烈战斗中\n过热.
name	Velox Arm	Velox 手臂
description	It's a modified Zomzom arm.	改装过的 Zomzom 手臂.
name	Velox Chest	Velox 胸部
description	An one of a kind chest part.\nCrafted out of Electro Cave \nJunk.	独一无二的胸部零件.\n由电气洞穴的废料打造.
name	Velox Head	Velox 头部
description	Be prepared when your opponent\nis equipped with this part.	当对手装备这件零件时,\n做好准备.
name	Velox Hip	Velox 腰部
description	A air-boosting device based on\nrocket science.	基于火箭科学的\n空气加速装置.
name	Velox Leg	Velox 腿部
description	Designed for casual runners.	为休闲跑者设计.
name	Zylin Chest	Zylin 胸部
description	Only for experienced megacs.	仅适合经验丰富的 Megac.
name	Zylin Arm	Zylin 手臂
description	A modern design fighting arm.	现代设计的战斗手臂.
name	Zylin Hip	Zylin 腰部
description	There is an unpressable\nbutton on this part.	这个零件上有一枚\n按不下去的按钮.
name	Zylin Leg	Zylin 腿部
description	You're looking for some\ngood leg defense? Look no\nfurther.	想要优质的腿部防御?\n别再找了.
name	Zylin Mantle	Zylin 披肩
description	This new piece of technology\ncan launch you upwards with \n16 kb/s!	这项新技术能以 16 kb/s\n把你向上发射!
name	Valk Claw	Valk 爪
description	Only used by the Emperor\nhimself.	仅由皇帝本人使用.
name	Duplice	复制体
description	Contains the ancient power\nto duplicate the owner, \nwielded only by the Emperor.	蕴含复制拥有者的古代力量,\n仅由皇帝持有.
name	Valk Mask	Valk 面具
description	They say the Emperor was blind.	据说皇帝是盲人.
name	Valk Hip	Valk 腰部
description	Without a good hip part even the\nEmperor would be useless.	没有好的腰部零件,\n就连皇帝也会毫无用处.
name	Valk Leg	Valk 腿部
description	The sound of his steps made \nmegacs bow for their Emperor.	他的脚步声会让 Megac\n向他们的皇帝俯首.
name	Emperors Eye	皇帝之眼
description	It happens in the blink of\nan eye.	一眨眼的事.
name	Shivatic	希瓦提克
description	Best things come in pairs.	好东西成双出现.
name	Guarding Chest	守卫胸部
description	This ancient part is something\nyou don't see every day.	这件古代零件可不是每天\n都能见到.
name	Electro Kaiser	电气凯撒
description	This part was once used by\nancient emperors to summon\ntheir armies.	这件零件曾被古代皇帝用来\n召唤他们的军队.
name	Hips of Truth	真相之腰
description	They just don't lie.	它们从不说谎.
name	Dub steps	Dub 节拍
description	If you listen closely you \ncan hear the Dub steps.	仔细听,你能听见\nDub 节拍.
name	Barrage	弹幕
description	You better start running when\nyour opponent is equipped with \nthis part.	当对手装备这件零件时,\n你最好开始跑.
name	Blunderblaster	失准爆能枪
description	Risky for both you and your \nopponent.	对你和对手都很危险.
name	Monkey Tail	猴尾
description	Mind your own monkey business!	少管闲事!
name	LCD Head	LCD 头部
description	Highest Definition.	最高画质.
name	Kilohertz Core	千赫核心
description	Pumpin' beats, unfortunately\nonly in mono.	在泵动节拍,可惜\n只能单声道播放.
